drug_1,drug_2,pt,final_outcome,case_count,support,confidence,lift
PHENYTOIN,GABAPENTIN,Drug ineffective,Moderate,17,0.0029,0.38,5.44
LAMOTRIGINE,LEVETIRACETAM,Therapeutic product effect incomplete,Moderate,5,0.0008,0.03,5.43
MYCOPHENOLATE MOFETIL,CYCLOSPORINE,Pneumocystis jirovecii pneumonia,Moderate,6,0.001,0.02,5.34
IBUPROFEN,GABAPENTIN,Off label use,Moderate,13,0.0022,0.21,5.3
LACOSAMIDE,LEVETIRACETAM,Depressed level of consciousness,Moderate,5,0.0008,0.02,5.16
PHENYTOIN,GABAPENTIN,Off label use,Moderate,9,0.0015,0.2,5.05
VALPROIC ACID,OXCARBAZEPINE,Drug ineffective,Moderate,7,0.0012,0.35,5.04
MYCOPHENOLATE MOFETIL,PREDNISOLONE,Pancytopenia,Moderate,5,0.0008,0.01,4.9
LACOSAMIDE,LEVETIRACETAM,Seizure,Moderate,9,0.0015,0.03,4.89
MYCOPHENOLATE MOFETIL,PREDNISOLONE,COVID-19,Serious,14,0.0023,0.03,4.87
CLOBAZAM,LEVETIRACETAM,Seizure,Moderate,5,0.0008,0.03,4.62
CLOBAZAM,LEVETIRACETAM,Foetal exposure during pregnancy,Moderate,5,0.0008,0.03,4.62
MYCOPHENOLATE MOFETIL,CYCLOSPORINE,Cytomegalovirus infection reactivation,Moderate,7,0.0012,0.02,4.61
PHENYTOIN,IBUPROFEN,Off label use,Moderate,7,0.0012,0.18,4.42
LACOSAMIDE,LEVETIRACETAM,Multiple-drug resistance,Moderate,6,0.001,0.02,4.42
MYCOPHENOLATE MOFETIL,PREDNISOLONE,Cytomegalovirus infection,Moderate,9,0.0015,0.02,4.41
LACOSAMIDE,ZONISAMIDE,Drug ineffective,Moderate,7,0.0012,0.3,4.38
ZONISAMIDE,LEVETIRACETAM,Drug ineffective,Moderate,8,0.0013,0.3,4.27
MYCOPHENOLATE MOFETIL,PREDNISOLONE,Renal impairment,Moderate,6,0.001,0.01,4.04
TOPIRAMATE,LACOSAMIDE,Drug ineffective,Moderate,13,0.0022,0.28,3.98
IBUPROFEN,GABAPENTIN,Drug ineffective,Moderate,17,0.0029,0.27,3.95
MYCOPHENOLATE MOFETIL,PREDNISOLONE,Sepsis,Moderate,5,0.0008,0.01,3.85
PREDNISOLONE,AZATHIOPRINE,Maternal exposure during pregnancy,Moderate,5,0.0008,0.03,3.68
PHENYTOIN,LACOSAMIDE,Drug ineffective,Moderate,12,0.002,0.26,3.68
MYCOPHENOLATE MOFETIL,CYCLOSPORINE,Cytomegalovirus infection,Moderate,5,0.0008,0.01,3.44
LACOSAMIDE,CLOBAZAM,Drug ineffective,Moderate,21,0.0035,0.24,3.44
LEVETIRACETAM,PREGABALIN,Drug ineffective,Moderate,10,0.0017,0.24,3.43
TOPIRAMATE,ZONISAMIDE,Drug ineffective,Moderate,5,0.0008,0.24,3.43
TOPIRAMATE,LEVETIRACETAM,Drug ineffective,Moderate,13,0.0022,0.24,3.41
CLOBAZAM,MELATONIN,Off label use,Moderate,5,0.0008,0.13,3.33
CLOBAZAM,OXCARBAZEPINE,Drug ineffective,Moderate,9,0.0015,0.23,3.32
LAMOTRIGINE,TOPIRAMATE,Product use in unapproved indication,Moderate,5,0.0008,0.04,3.31
LACOSAMIDE,LEVETIRACETAM,Maternal exposure during pregnancy,Moderate,7,0.0012,0.02,3.28
VALPROIC ACID,PHENOBARBITAL,Drug ineffective,Moderate,5,0.0008,0.23,3.27
VALPROIC ACID,LACOSAMIDE,Drug ineffective,Moderate,18,0.003,0.22,3.24
LACOSAMIDE,LEVETIRACETAM,Somnolence,Moderate,8,0.0013,0.03,3.24
MYCOPHENOLATE MOFETIL,CYCLOSPORINE,Pneumonia,Moderate,6,0.001,0.02,3.13
CARBAMAZEPINE,LACOSAMIDE,Drug ineffective,Moderate,7,0.0012,0.21,3.06
CYCLOSPORINE,PREDNISOLONE,Product use in unapproved indication,Moderate,6,0.001,0.04,3.02
LEVETIRACETAM,PHENOBARBITAL,Drug ineffective,Moderate,13,0.0022,0.21,2.97
VALPROIC ACID,TOPIRAMATE,Drug ineffective,Moderate,9,0.0015,0.2,2.95
TOPIRAMATE,AMITRIPTYLINE,Drug ineffective,Moderate,5,0.0008,0.2,2.88
PHENYTOIN,LEVETIRACETAM,Drug ineffective,Moderate,17,0.0029,0.2,2.88
LEVETIRACETAM,PHENOBARBITAL,Off label use,Moderate,7,0.0012,0.11,2.81
VALPROIC ACID,LEVETIRACETAM,Drug ineffective,Moderate,27,0.0045,0.19,2.8
OXCARBAZEPINE,LEVETIRACETAM,Drug ineffective,Moderate,14,0.0023,0.19,2.73
LACOSAMIDE,LEVETIRACETAM,Drug ineffective,Moderate,52,0.0087,0.18,2.59
VALPROIC ACID,CLOBAZAM,Drug ineffective,Moderate,12,0.002,0.18,2.58
LACOSAMIDE,OXCARBAZEPINE,Drug ineffective,Moderate,8,0.0013,0.18,2.56
MYCOPHENOLATE MOFETIL,CYCLOSPORINE,Product use in unapproved indication,Moderate,12,0.002,0.03,2.56
LAMOTRIGINE,ZOLPIDEM,Off label use,Moderate,5,0.0008,0.1,2.48
PHENYTOIN,VALPROIC ACID,Drug ineffective,Moderate,6,0.001,0.17,2.47
PHENYTOIN,CLOBAZAM,Drug ineffective,Moderate,7,0.0012,0.16,2.35
MYCOPHENOLATE MOFETIL,CYCLOSPORINE,Drug intolerance,Moderate,6,0.001,0.02,2.33
TOPIRAMATE,CLOBAZAM,Drug ineffective,Moderate,10,0.0017,0.16,2.32
GABAPENTIN,PHENOBARBITAL,Drug ineffective,Moderate,7,0.0012,0.16,2.24
CLOBAZAM,LEVETIRACETAM,Drug ineffective,Moderate,26,0.0044,0.15,2.2
PHENOBARBITAL,BACLOFEN,Drug ineffective,Moderate,7,0.0012,0.15,2.15
CLOBAZAM,BACLOFEN,Drug ineffective,Moderate,7,0.0012,0.15,2.15
MELATONIN,CEFTRIAXONE,Off label use,Moderate,5,0.0008,0.08,2.14
MYCOPHENOLATE MOFETIL,PREDNISOLONE,Acute kidney injury,Moderate,7,0.0012,0.01,2.1
CLOBAZAM,PHENOBARBITAL,Drug ineffective,Moderate,10,0.0017,0.14,2.03
MYCOPHENOLATE MOFETIL,PREDNISOLONE,Drug interaction,Moderate,8,0.0013,0.01,2.01
LAMOTRIGINE,PRAMIPEXOLE,Drug ineffective,Moderate,5,0.0008,0.14,2.0
GABAPENTIN,CLOBAZAM,Drug ineffective,Moderate,7,0.0012,0.13,1.94
MELATONIN,PHENOBARBITAL,Drug ineffective,Moderate,5,0.0008,0.13,1.9
CLOBAZAM,MELATONIN,Drug ineffective,Moderate,5,0.0008,0.13,1.9
VALPROIC ACID,DIAZEPAM,Drug ineffective,Moderate,5,0.0008,0.13,1.9
MYCOPHENOLATE MOFETIL,AZATHIOPRINE,Off label use,Moderate,7,0.0012,0.07,1.86
GABAPENTIN,DIAZEPAM,Drug ineffective,Moderate,5,0.0008,0.13,1.85
CARBAMAZEPINE,LEVETIRACETAM,Drug ineffective,Moderate,7,0.0012,0.13,1.83
